IMDB ID,BoxOffice,Country,Director,Genre,Plot,Rated,Released,Runtime,Title,Year,imdbRating,imdbVotes,budget,popularity,vote_average,vote_count
tt0102175,"$32,482,682",United States,Spike Lee,"['Drama', 'Romance']",Friends and family of a married Black architect react in different ways to his affair with an Italian secretary.,R,07 Jun 1991,132 min,Jungle Fever,1991,6.6,"20,027",14000000,0.9316,6.4,288
tt0101764,"$30,102,717",United States,Sheldon Lettich,"['Action', 'Crime']",Twin brothers are separated when their parents are murdered but 25 years later they re-unite in order to avenge their parents' death.,R,09 Aug 1991,110 min,Double Impact,1991,5.6,"45,020",15000000,3.119,6.2,1100
tt0102004,"$25,895,485",United States,John Badham,"['Action', 'Comedy', 'Crime']","An action movie star researching a role is allowed to tag along with a hardboiled New York City policeman, who finds him superficial and irritating.",R,08 Mar 1991,111 min,The Hard Way,1991,6.4,"22,837",24000000,1.5452,6.2,435
tt0102719,"$25,104,700",United States,Brian Levant,"['Comedy', 'Family']",The worst child in the world makes an unthinkable discovery: there is another child even worse than he is--and it's a girl.,PG-13,03 Jul 1991,90 min,Problem Child 2,1991,4.9,"24,302",15000000,2.4661,5.875,614
tt0102316,"$25,010,896",United States,Jodie Foster,['Drama'],"A single mother raises a child prodigy on her own, struggling to give him every opportunity he needs to express his gift.",PG,01 Nov 1991,99 min,Little Man Tate,1991,6.6,"16,408",10000000,2.0836,6.577,310
tt0105121,"$24,204,154",United States,Wes Craven,"['Comedy', 'Horror', 'Mystery']","When Fool breaks into the home of his family's landlords, he discovers that they have mutilated several boys and kept them imprisoned under stairs. As Fool attempts to flee, he meets their daughter, Alice. Can Fool and Alice escape?",R,01 Nov 1991,102 min,The People Under the Stairs,1991,6.4,"41,538",6000000,1.1649,6.5,676
tt0102603,"$23,562,716",United States,John Landis,"['Comedy', 'Crime']","A gangster attempts to keep the promise he made to his dying father: that he would give up his life of crime and ""go straight"".",PG,26 Apr 1991,109 min,Oscar,1991,6.5,"35,014",35000000,1.3441,6.3,520
tt0101912,"$22,773,535",United States,Garry Marshall,"['Comedy', 'Drama', 'Romance']","Johnny has just been released from prison, and gets a job in a café beside waitress Frankie. Frankie is a bit of a loner, but Johnny is determined their romance will blossom.",R,11 Oct 1991,118 min,Frankie and Johnny,1991,6.7,"35,334",29000000,1.7173,6.758,585
tt0102729,"$22,641,969",United States,Nadia Tass,"['Comedy', 'Crime', 'Mystery']","An accountant with super bad luck is sent in search of a missing boss's daughter, also an incredibly unlucky person.",PG,09 Aug 1991,96 min,Pure Luck,1991,5.8,"7,849",17010000,0.9958,5.5,132
tt0101846,"$21,082,165",United States,Richard Franklin,"['Action', 'Thriller']","A special effects man helps his girlfriend's ex, a cop, with a sting operation, where the ex gets killed. Something's off and he investigates with help from an ex-cop PI friend.",PG-13,10 May 1991,108 min,F/X2,1991,5.9,"12,027",16400000,1.0076,6.332,274
tt0102460,"$20,246,790",United States,Michael Karbelnikoff,"['Crime', 'Drama']","From start to finish, this is a story of friendship between four street-wise mates who don't mind using violence to achieve the lives that they want. They trust no one but each other, which is vital to their success as mobsters.",R,26 Jul 1991,104 min,Mobsters,1991,5.9,"9,841",23000000,0.9135,6.2,179
