IMDB ID,BoxOffice,Country,Director,Genre,Plot,Rated,Released,Runtime,Title,Year,imdbRating,imdbVotes,budget,popularity,vote_average,vote_count
tt0821640,"$55,250,026",United States,Mark Waters,"['Comedy', 'Fantasy', 'Romance']","While attending his brother's wedding, a serial womanizer is haunted by the ghosts of his past girlfriends.",PG-13,01 May 2009,100 min,Ghosts of Girlfriends Past,2009,5.8,"96,366",37500000,2.2864,5.954,2319
tt1201167,"$51,855,045",United States,Judd Apatow,"['Comedy', 'Drama']","When seasoned comedian George Simmons learns of his terminal, inoperable health condition, his desire to form a genuine friendship causes him to take a relatively green performer under his wing as his opening act.",R,31 Jul 2009,146 min,Funny People,2009,6.3,"124,957",75000000,1.5164,5.881,1318
tt1385912,"$51,733,921",United States,Tyler Perry,"['Comedy', 'Drama']","When Madea catches sixteen-year-old Jennifer and her two younger brothers looting her home, she decides to take matters into her own hands.",PG-13,11 Sep 2009,113 min,I Can Do Bad All by Myself,2009,4.7,"10,819",19000000,0.6282,6.2,128
tt0976238,"$49,492,060",United States,Walt Becker,"['Comedy', 'Family']",Two friends and business partners find their lives turned upside-down when strange circumstances lead them to be the temporary guardians of 7-year-old twins.,PG,25 Nov 2009,88 min,Old Dogs,2009,5.3,"40,101",35000000,1.5433,5.5,746
tt0457400,"$49,438,370",United States,Brad Silberling,"['Action', 'Adventure', 'Comedy']","A space-time vortex sucks scientist Rick Marshall, his assistant Holly and a survivalist Will into a world populated by dinosaurs and painfully slow creatures called Sleestaks.",PG-13,05 Jun 2009,102 min,Land of the Lost,2009,5.3,"76,725",100000000,2.8081,5.423,1326
tt1078588,"$49,200,230",United States,Nick Cassavetes,"['Drama', 'Family']",Anna Fitzgerald looks to earn medical emancipation from her parents who until now have relied on their youngest child to help their leukemia-stricken daughter Kate remain alive.,PG-13,26 Jun 2009,109 min,My Sister's Keeper,2009,7.3,"100,383",30000000,4.0517,7.378,2127
tt0929632,"$47,566,524",United States,Lee Daniels,['Drama'],"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that she can re-route her life in a better direction.",Not Rated,20 Nov 2009,110 min,Precious,2009,7.3,"117,933",10000000,2.0775,7.3,1649
tt1045778,"$43,337,279",United States,Harold Ramis,['Comedy'],"After being banished from their tribe, two hunter-gatherers encounter Biblical characters and eventually wind up in the city of Sodom.",PG-13,19 Jun 2009,97 min,Year One,2009,4.9,"105,872",60000000,3.2341,4.964,1888
tt1139668,"$42,670,410",United States,David S. Goyer,"['Horror', 'Mystery', 'Thriller']","When Casey Beldon witnesses a series of paranormal activities around her, she takes the help of a spiritual adviser and soon finds out a frightful family secret solely responsible for her condition.",PG-13,09 Jan 2009,88 min,The Unborn,2009,4.7,"53,808",16000000,2.3779,5.2,1363
tt1263670,"$39,464,306",United States,Scott Cooper,"['Drama', 'Music', 'Romance']",A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.,R,05 Feb 2010,112 min,Crazy Heart,2009,7.2,"96,025",7000000,1.7228,6.92,1080
